Countries/Regions	Record Count	% of 41,490
REPUBLIC OF IRELAND	7	0.017
LIBERIA	6	0.014
NIGER	6	0.014
TOGO	6	0.014
ANGUILLA	5	0.012
NAMIBIA	5	0.012
PAPUA N GUINEA	5	0.012
SOUTH SUDAN	5	0.012
BOSNIA AND HERCEG	4	0.010
BURUNDI	4	0.010
CHAD	4	0.010
ESWATINI	4	0.010
GABON	4	0.010
HAITI	4	0.010
BOSNIA AND HERZEGOVINA	3	0.007
CZECHIA	3	0.007
GUYANA	3	0.007
MONACO	3	0.007
MONTENEGRO	3	0.007
NICARAGUA	3	0.007
SOMALIA	3	0.007
UNITED STATES OF AMERICA	3	0.007
ARUBA	2	0.005
BAHAMAS	2	0.005
BERMUDA	2	0.005
BOSNIA HERZEGOVINA	2	0.005
CENT AFR REPUBL	2	0.005
DOMINICA	2	0.005
DOMINICAN REPUBLIC	2	0.005
ESPANA	2	0.005
EUA	2	0.005
FAROE ISLANDS	2	0.005
GREENLAND	2	0.005
MALDIVES	2	0.005
MAURITANIA	2	0.005
NEW CALEDONIA	2	0.005
SAMOA	2	0.005
SINT MAARTEN	2	0.005
SURINAME	2	0.005
AMERICA	1	0.002
ANDORRA	1	0.002
ANGOLA	1	0.002
BELIZE	1	0.002
DEMOCRATIC REPUBLIC OF CONGO	1	0.002
ERITREA	1	0.002
ESTADOS UNIDOS	1	0.002
FRENCH GUIANA	1	0.002
IRAN ISLAMIC REPUBLIC OF	1	0.002
ITALIA	1	0.002
KIRIBATI	1	0.002
MARSHALL ISLAND	1	0.002
MICRONESIA	1	0.002
MOCAMBIQUE	1	0.002
PALAU	1	0.002
PITCAIRN	1	0.002
SAN MARINO	1	0.002
SEYCHELLES	1	0.002
ST KITTS NEVI	1	0.002
ST LUCIA	1	0.002
ST VINCENT	1	0.002
TAJIKISTAN	1	0.002
TIMOR LESTE	1	0.002
TRINIDAD AND TOBAGO	1	0.002
TURQUIA	1	0.002
TUVALU	1	0.002
U S A	1	0.002
UNITED KINDGOM	1	0.002
VANUATU	1	0.002
8,723 record(s) (21.024%) do not contain data in the field being analyzed
