Countries/Regions	Record Count	% of 184,406
TRINIDAD AND TOBAGO	4	0.002
EE UU	3	0.002
ESTADOS UNIDOS DE AMERICA	3	0.002
KINGDOM OF SAUDI ARABIA	3	0.002
MACEDONIA	3	0.002
PAPUA NEW GUINEA	3	0.002
REINO UNIDO	3	0.002
REPUBLICA DOMINICANA	3	0.002
THE NETHERLANDS	3	0.002
BOSNIA HERZEGOVINA	2	0.001
CENT AFR REPUBL	2	0.001
ERITREA	2	0.001
ESPANHA	2	0.001
ESTADOS UNIDOS DA AMERICA	2	0.001
HEALTH CONSORCIO DE INVESTIGADORES COVID 19 HONDURAS HONDURAS	2	0.001
KOREA	2	0.001
LIBIA	2	0.001
MACAU	2	0.001
PALESTINIAN TERRITORY	2	0.001
SAMOA	2	0.001
SAN MARINO	2	0.001
SOLOMON ISLANDS	2	0.001
ST LUCIA	2	0.001
SUID AFRIKA	2	0.001
TAILANDIA	2	0.001
TIMOR LESTE	2	0.001
TONGA	2	0.001
TRINIDAD Y TOBAGO	2	0.001
TURQUIA	2	0.001
ANGUILLA	1	0.001
ANTIGUA AND BARBUDA	1	0.001
ARABIA SAUDITA	1	0.001
ASUNCION	1	0.001
BERMUDA	1	0.001
BOSNIA AND HERZEGOVINA	1	0.001
CAYMAN ISLANDS	1	0.001
COMOROS	1	0.001
DOMINICANA	1	0.001
EAST TIMOR	1	0.001
EEUU	1	0.001
ESPAAA	1	0.001
ESTADO PLURINACIONAL DE BOLIVIA	1	0.001
ESTADOS	1	0.001
ESTONIAN	1	0.001
ETIOPIA	1	0.001
EUA	1	0.001
FRANCA	1	0.001
FRANCIA	1	0.001
GUERRERO	1	0.001
HONG KONG SAR	1	0.001
INGLATERRA	1	0.001
MAXICO	1	0.001
MONTSERRAT	1	0.001
NAURU	1	0.001
NORTH KOREA	1	0.001
NORTHERN IRELAND	1	0.001
NORUEGA	1	0.001
NUEVA ZELANDA	1	0.001
OVIEDO	1	0.001
PEOPLES REPUBLIC OF CHINA	1	0.001
PERAO	1	0.001
POLONIA	1	0.001
PR CHINA	1	0.001
REPUBLIC OF KOREA	1	0.001
REPUBLICA ARGENTINA	1	0.001
RJ	1	0.001
RUSIA	1	0.001
RUSSIAN FEDERATION	1	0.001
SAO TOME PRIN	1	0.001
SEYCHELLES	1	0.001
SOUTH AFRCA	1	0.001
ST HELENA	1	0.001
ST VINCENT AND GRENADINES	1	0.001
SUDAFRICA	1	0.001
SUIZA	1	0.001
SURINAME	1	0.001
TAJIKISTAN	1	0.001
39,053 record(s) (21.178%) do not contain data in the field being analyzed
