Countries/Regions	Record Count	% of 113,639
ALEMANHA	1	0.001
ARABIA SAUDITA	1	0.001
AZERBAIYAN	1	0.001
BELGICA	1	0.001
BELIZE	1	0.001
BERMUDA	1	0.001
BRITISH VIRGIN ISL	1	0.001
CAMERUN	1	0.001
CAYMAN ISLANDS	1	0.001
CHIHUAHUA	1	0.001
COIMBRA	1	0.001
CONGO KINSHASA	1	0.001
COREIA DO SUL	1	0.001
CROACIA	1	0.001
CZECHIA	1	0.001
DEMOCRATIC REPUBLIC OF THE CONGO	1	0.001
EE	1	0.001
EEUU	1	0.001
EGIPTO	1	0.001
ESTADO PLURINACIONAL DE BOLIVIA	1	0.001
ESTADOS UNIDOS DE AMERICA	1	0.001
FALKLAND ISLAND	1	0.001
FRENCH POLYNESIA	1	0.001
GRECIA	1	0.001
HACKMED	1	0.001
HUNGRIA	1	0.001
INGLATERRA	1	0.001
IRAK	1	0.001
JMRFOS GMAIL COM	1	0.001
KINGDOM OF SAUDI ARABIA	1	0.001
KOREA	1	0.001
LIBIA	1	0.001
LOUISIANA	1	0.001
MOCAMBIQUE	1	0.001
NORTHERN CYPRUS	1	0.001
PALAU	1	0.001
POLONIA	1	0.001
PUERTO RICO	1	0.001
REPUBLIC OF CHINA	1	0.001
REPUBLIC OF CONGO	1	0.001
SEYCHELLES	1	0.001
SINALOA	1	0.001
ST KITTS AND NEVI	1	0.001
ST LUCIA	1	0.001
SURINAME	1	0.001
THE NETHERLANDS	1	0.001
TONGA	1	0.001
TURKMENISTAN	1	0.001
UAE	1	0.001
VANUATU	1	0.001
WEST INDIES	1	0.001
25,609 record(s) (22.535%) do not contain data in the field being analyzed
